Month,Close
05-Aug,7805.43
05-Sep,8634.48
05-Oct,7892.32
05-Nov,8788.81
05-Dec,9397.93
06-Jan,9919.89
06-Feb,10370.24
06-Mar,11279.96
06-Apr,12042.56
06-May,10398.61
06-Jun,10609.25
06-Jul,10743.88
06-Aug,11699.05
06-Sep,12454.42
06-Oct,12961.9
06-Nov,13696.31
06-Dec,13786.91
07-Jan,14090.92
07-Feb,12938.09
07-Mar,13072.1
07-Apr,13872.37
07-May,14544.46
07-Jun,14650.51
07-Jul,15550.99
07-Aug,15318.6
07-Sep,17291.1
07-Oct,19837.99
07-Nov,19363.19
07-Dec,20286.99
08-Jan,17648.71
08-Feb,17578.72
08-Mar,15644.44
08-Apr,17287.31
08-May,16415.57
08-Jun,13461.6
08-Jul,14355.75
08-Aug,14564.53
08-Sep,12860.43
08-Oct,9788.06
08-Nov,9092.72
08-Dec,9647.31
09-Jan,9424.24
09-Feb,8891.61
09-Mar,9708.5
09-Apr,11403.25
09-May,14625.25
09-Jun,14493.84
09-Jul,15670.31
09-Aug,15666.64
09-Sep,17126.84
09-Oct,15896.28
09-Nov,16926.22
09-Dec,17464.81
10-Jan,16357.96
10-Feb,16429.55
10-Mar,17527.77
10-Apr,17558.71
10-May,16944.63
10-Jun,17700.9
10-Jul,17868.29
10-Aug,17971.12
10-Sep,20069.12
10-Oct,20032.34
10-Nov,19521.25
10-Dec,20509.09
11-Jan,18327.76
11-Feb,17823.4
11-Mar,19445.22
11-Apr,19135.96
11-May,18503.28
11-Jun,18845.87
11-Jul,18197.2
11-Aug,16676.75
11-Sep,16453.76
11-Oct,17705.01
11-Nov,16123.46
11-Dec,15454.92
12-Jan,17193.55
12-Feb,17752.68
12-Mar,17404.2
12-Apr,17318.81
12-May,16218.53
12-Jun,17429.98
12-Jul,17236.18
12-Aug,17429.56
12-Sep,18762.74
12-Oct,18505.38
12-Nov,19339.9
12-Dec,19426.71
13-Jan,19894.98
13-Feb,18861.54
13-Mar,18835.77
13-Apr,19504.18
13-May,19760.3
13-Jun,19395.81
13-Jul,19345.7
13-Aug,18619.72
13-Sep,19379.77
13-Oct,21164.52
13-Nov,20791.93
13-Dec,21170.68
14-Jan,20513.85
14-Feb,21120.12
14-Mar,22386.27
14-Apr,22417.8
14-May,24217.34
14-Jun,25413.78
14-Jul,25894.97
14-Aug,26638.11
14-Sep,26630.51
14-Oct,27865.83
14-Nov,28693.99
14-Dec,27499.42
15-Jan,29182.95
15-Feb,29361.5
15-Mar,27957.49
15-Apr,27011.31
15-May,27828.44
15-Jun,27780.83
15-Jul,28114.56
15-Aug,26283.09
15-Sep,26154.83
15-Oct,26656.83
15-Nov,26145.67
15-Dec,26117.54
16-Jan,24870.69
16-Feb,23002
16-Mar,25341.86
16-Apr,25606.62
16-May,26667.96
16-Jun,26999.72
16-Jul,28051.86
16-Aug,28452.17
16-Sep,27865.96
16-Oct,27930.21
16-Nov,26652.81
16-Dec,26626.46
17-Jan,27655.96
17-Feb,28743.32
17-Mar,29620.5
17-Apr,29918.4
17-May,31145.8
17-Jun,30921.61
17-Jul,32514.94
17-Aug,31730.49
17-Sep,31283.72
17-Oct,33213.13
17-Nov,33149.35
17-Dec,34056.83
18-Jan,35965.02
18-Feb,34184.04
18-Mar,32968.68
18-Apr,35160.36
18-May,35322.38
18-Jun,35423.48
18-Jul,37606.58
18-Aug,38645.07
18-Sep,36227.14
18-Oct,34442.05
18-Nov,36194.3
18-Dec,36068.33
19-Jan,36256.69
19-Feb,35867.44
19-Mar,38672.91
19-Apr,39031.55
19-May,39714.2
19-Jun,39394.64
19-Jul,37481.12
19-Aug,37332.79
19-Sep,38667.33
19-Oct,40129.05
19-Nov,40793.81
19-Dec,41253.74
20-Jan,40723.49
20-Feb,38297.29
20-Mar,29468.49
20-Apr,33717.62
20-May,32424.1
20-Jun,34915.8
20-Jul,37606.89
20-Aug,38628.29
20-Sep,38067.93
20-Oct,39614.07
20-Nov,44149.72
20-Dec,47751.33
21-Jan,46285.77
21-Feb,49099.99
21-Mar,49509.15
21-Apr,48782.36
21-May,51937.44
21-Jun,52482.71
21-Jul,52586.84
21-Aug,57552.39
21-Sep,59126.36
21-Oct,59306.93
21-Nov,57064.87
21-Dec,58253.82
22-Jan,58014.17
22-Feb,56247.28
22-Mar,58568.51
22-Apr,57060.87
22-May,55566.41
22-Jun,53018.94
22-Jul,57570.25
22-Aug,59537.07
22-Sep,57426.92
22-Oct,60746.59
22-Nov,63099.65
22-Dec,60840.74
23-Jan,59549.9
23-Feb,58962.12
23-Mar,58991.52
23-Apr,61112.44
23-May,62622.24
23-Jun,64718.56
23-Jul,66527.67
23-Aug,64831.41
23-Sep,65828.41
23-Oct,63874.93
23-Nov,66988.44
23-Dec,72240.26
24-Jan,71752.11
24-Feb,72500.3
24-Mar,73651.35
24-Apr,74482.78
24-May,73961.31
24-Jun,79032.73
24-Jul,81741.34
24-Aug,80981.95
